item_id,order_id,product_id,quantity,unit_price,discount_percent
1,340,348,3,2287.22,20.01
2,176,272,7,1086.62,21.87
3,312,494,2,4557.82,65.19
4,437,478,5,4028.8,9.25
5,4,418,3,555.29,45.94
6,487,178,-158,4843.02,65.47
7,89,77,1,2189.45,89.98
8,140,64,7,4156.89,57.32
9,362,244,7,1563.44,2.99
10,144,123,6,3864.96,65.63
11,439,325,9,3251.13,94.17
12,71,117,8,2220.99,92.83
13,390,437,5,2121.61,74.49
14,387,434,8,2460.86,91.1
15,4,246,4,2588.3,43.01
16,443,440,9,320.17,68.7
17,43,109,5,1598.47,49.5
18,404,336,-79,2574.3,6.48
19,67,103,5,3292.41,28.39
20,209,230,9,4658.38,24.06
21,240,94,4,1982.99,77.27
22,19,440,2,320.17,66.13
23,169,326,3,2030.58,38.42
24,236,492,8,3627.87,57.01
25,433,350,6,3997.26,14.62
26,24,477,8,4502.32,11.49
27,403,345,8,993.47,77.94
28,176,481,4,2123.91,16.75
29,203,385,3,3097.34,18.31
30,241,109,4,1598.47,76.71
31,303,180,3,2223.12,87.77
32,403,498,1,4298.4,99.49
33,476,424,10,835.83,6.06
34,181,56,3,700.13,40.7
35,171,389,6,2289.76,72.47
36,270,22,3,3761.52,78.31
37,23,389,-109,2289.76,68.58
38,416,40,3,4768.01,4.5
39,78,247,2,3713.56,61.58
40,243,315,10,2376.94,80.47
41,463,418,9,555.29,58.03
42,481,337,4,2091.05,47.51
43,242,174,3,1677.09,99.46
44,126,89,4,2897.17,48.37
45,298,176,5,4494.67,76.75
46,173,23,2,2466.2,41.79
47,235,498,7,4298.4,28.46
48,229,299,10,2542.64,37.42
49,27,206,4,4746.39,99.73
50,421,179,5,625.11,93.19
51,495,82,9,1615.79,52.0
52,431,464,9,4354.55,61.67
53,43,140,9,2360.07,18.49
54,185,83,3,766.24,47.9
55,1,20,6,1106.19,77.14
56,477,486,7,870.77,25.16
57,173,414,4,1984.06,98.14
58,306,211,10,3503.19,35.5
59,374,121,6,1079.75,11.2
60,297,431,7,162.12,37.55
61,350,62,8,1194.02,46.84
62,86,208,6,1242.3,24.24
63,24,302,4,4240.55,96.73
64,390,44,9,4743.17,27.23
65,117,118,6,3112.87,53.61
66,398,112,4,3181.2,23.21
67,268,41,5,4792.3,74.54
68,383,350,2,3997.26,49.69
69,53,36,1,3098.26,70.98
70,203,434,7,2460.86,82.3
71,360,291,7,3537.02,43.82
72,389,259,9,978.17,21.44
73,177,330,10,1970.16,19.84
74,466,473,7,1783.44,1.26
75,478,380,7,1221.79,82.87
76,56,45,7,1653.06,44.72
77,278,65,4,1608.05,30.74
78,215,115,2,2041.49,53.37
79,207,71,6,2656.7,93.22
80,323,43,1,600.98,61.0
81,169,385,7,3097.34,84.82
82,61,82,2,1615.79,56.34
83,426,350,6,3997.26,24.7
84,83,363,1,4939.78,4.07
85,76,56,2,700.13,59.11
86,240,328,8,488.53,2.43
87,64,399,1,2462.55,43.72
88,9,382,4,818.6,61.87
89,383,419,6,4708.92,93.3
90,358,403,7,4309.5,3.9
91,130,201,1,2977.26,46.6
92,413,311,-123,2314.97,97.75
93,127,293,4,3114.47,25.66
94,1,449,6,2786.37,90.56
95,385,63,9,3687.57,0.69
96,413,421,8,3305.16,14.47
97,243,32,8,2789.12,6.81
98,412,448,8,3416.66,35.55
99,482,456,4,395.02,18.84
100,394,164,2,1514.86,93.17
101,457,133,4,1548.8,8.64
102,206,124,5,881.72,60.99
103,62,472,6,1236.03,73.34
104,255,293,5,3114.47,45.52
105,37,499,1,996.89,44.73
106,446,145,9,3838.61,53.01
107,94,244,7,1563.44,54.7
108,101,309,2,3323.81,22.52
109,266,166,5,3003.7,89.9
110,134,142,4,2096.69,83.45
111,77,95,3,2500.58,32.91
112,245,313,6,4358.56,71.24
113,395,72,10,2229.56,98.49
114,109,143,8,487.35,48.66
115,25,66,1,588.51,67.21
116,212,130,8,3153.96,64.96
117,386,201,10,2977.26,88.25
118,352,117,9,2220.99,35.81
119,206,140,10,2360.07,18.94
120,434,266,6,338.9,24.61
121,105,240,1,1415.28,63.19
122,326,381,1,4804.36,28.69
123,33,86,10,2523.5,30.83
124,425,316,1,628.0,77.96
125,118,55,5,1923.31,6.28
126,19,209,3,2577.45,6.25
127,107,350,5,3997.26,69.84
128,130,150,6,1451.45,12.64
129,149,319,4,3752.94,86.92
130,153,5,3,469.17,72.15
131,293,309,9,3323.81,34.15
132,103,436,4,4896.42,34.98
133,41,282,7,4342.54,16.88
134,393,250,2,1040.29,9.23
135,141,345,2,993.47,42.52
136,350,128,6,4692.49,95.71
137,344,243,2,2680.49,32.65
138,305,165,3,680.61,21.84
139,216,257,-66,1169.74,78.37
140,339,372,4,948.24,96.49
141,435,58,4,3125.15,61.51
142,377,14,1,2429.54,44.44
143,429,188,1,4800.6,57.56
144,289,282,1,4342.54,68.59
145,250,92,7,3010.48,55.31
146,60,353,1,995.71,39.67
147,115,269,10,2536.25,78.89
148,167,460,7,336.99,18.56
149,343,326,3,2030.58,78.77
150,137,442,10,3403.6,70.67
151,315,396,5,1696.28,17.02
152,304,413,8,3159.28,84.79
153,74,312,3,1918.93,37.3
154,465,366,4,4318.29,26.35
155,221,97,7,2438.07,50.44
156,111,52,7,1234.91,98.16
157,15,424,-34,835.83,46.71
158,300,412,2,3891.68,19.67
159,51,127,5,2632.83,60.69
160,391,69,5,2124.01,29.48
161,335,27,2,4502.02,28.47
162,454,303,7,1096.66,51.27
163,121,205,4,1887.28,50.38
164,395,84,3,3197.86,8.73
165,56,424,8,835.83,39.36
166,10,395,7,3502.01,88.32
167,141,243,9,2680.49,71.7
168,85,131,6,2099.84,88.47
169,156,285,5,2783.29,2.47
170,256,343,2,2046.68,60.64
171,99,423,2,2319.06,99.6
172,467,353,8,995.71,78.15
173,22,312,3,1918.93,96.72
174,138,175,8,1579.39,74.29
175,161,252,10,588.23,76.07
176,464,349,3,4214.4,88.23
177,260,73,8,3996.31,0.05
178,403,346,1,1563.48,86.97
179,303,375,4,1156.2,97.54
180,51,215,3,3934.64,53.82
181,132,242,5,2777.65,44.45
182,423,369,4,1361.24,56.83
183,220,240,4,1415.28,17.34
184,366,242,5,2777.65,0.32
185,151,38,4,790.41,75.56
186,42,436,8,4896.42,65.76
187,285,208,10,1242.3,52.09
188,283,312,3,1918.93,64.12
189,391,308,10,694.3,87.4
190,381,277,1,1739.21,21.07
191,253,150,5,1451.45,54.01
192,413,498,9,4298.4,15.23
193,331,53,1,3712.39,2.86
194,207,435,-41,109.48,34.55
195,35,412,4,3891.68,87.54
196,109,306,1,3728.43,21.29
197,476,65,2,1608.05,74.11
198,52,500,3,1225.41,7.43
199,91,86,6,2523.5,78.94
200,92,411,-78,1165.29,98.44
201,189,464,-148,4354.55,27.75
202,62,282,5,4342.54,83.07
203,351,285,10,2783.29,92.75
204,342,5,5,469.17,64.3
205,456,21,6,1896.97,80.15
206,57,238,3,4099.94,68.39
207,43,86,5,2523.5,20.97
208,485,431,8,162.12,54.94
209,176,36,8,3098.26,53.91
210,211,353,10,995.71,32.17
211,36,340,1,4314.88,88.29
212,423,408,4,244.97,87.21
213,482,344,2,2526.47,76.72
214,337,129,-78,540.46,42.26
215,436,72,2,2229.56,17.18
216,354,17,2,1272.53,5.4
217,227,146,7,1082.51,25.46
218,393,139,1,4295.29,53.85
219,312,204,2,1537.76,61.43
220,482,323,1,3657.87,59.23
221,295,484,8,3054.13,28.17
222,252,325,1,3251.13,11.65
223,105,303,8,1096.66,78.34
224,313,13,7,1515.46,30.52
225,21,263,8,2889.45,56.57
226,2,437,1,2121.61,7.2
227,415,196,7,2174.97,63.62
228,223,315,3,2376.94,5.84
229,251,283,8,663.8,17.29
230,217,336,6,2574.3,84.58
231,43,122,1,1172.77,28.12
232,250,207,7,1255.64,78.59
233,187,401,5,1744.7,11.89
234,163,180,5,2223.12,44.3
235,230,36,2,3098.26,86.29
236,164,166,3,3003.7,2.44
237,435,145,10,3838.61,25.21
238,10,411,5,1165.29,37.62
239,472,427,5,1877.29,64.63
240,236,307,6,556.38,8.37
241,478,32,7,2789.12,86.44
242,61,247,3,3713.56,39.02
243,225,291,8,3537.02,38.51
244,427,80,1,3781.35,93.22
245,299,446,1,289.42,88.14
246,129,384,7,3798.92,79.36
247,315,179,3,625.11,90.14
248,437,336,-23,2574.3,66.71
249,433,228,3,3881.94,76.3
250,24,66,1,588.51,97.04
251,166,167,7,934.51,90.42
252,233,420,3,839.52,48.94
253,69,202,10,824.87,68.83
254,49,119,1,4794.21,89.01
255,85,495,5,4407.59,20.69
256,53,228,6,3881.94,59.08
257,40,353,8,995.71,15.87
258,30,33,9,4524.59,88.24
259,353,282,4,4342.54,32.53
260,40,426,8,2903.56,4.03
261,5,367,2,1857.56,51.06
262,92,499,4,996.89,92.47
263,176,160,2,2054.38,59.35
264,98,374,6,395.32,24.71
265,222,112,6,3181.2,89.25
266,231,429,10,3428.56,39.44
267,45,353,6,995.71,85.66
268,232,32,5,2789.12,95.52
269,176,201,1,2977.26,87.27
270,81,391,1,835.11,19.98
271,231,73,10,3996.31,57.46
272,12,405,-183,2415.04,80.5
273,490,290,5,3172.07,56.37
274,482,155,10,3943.61,46.91
275,152,68,1,4435.48,35.18
276,4,225,6,138.95,89.18
277,216,158,2,1293.02,97.06
278,40,184,8,1038.59,70.61
279,87,271,-47,3057.37,36.87
280,239,395,10,3502.01,37.75
281,162,203,7,4471.55,80.96
282,181,272,10,1086.62,65.14
283,407,272,1,1086.62,16.0
284,152,474,10,2528.6,10.94
285,372,4,6,405.73,63.76
286,483,197,1,4788.15,84.16
287,76,34,6,4261.04,33.73
288,216,11,10,829.79,62.51
289,455,215,6,3934.64,75.57
290,145,386,2,790.89,33.42
291,166,371,4,3626.02,19.66
292,302,191,3,1604.45,88.7
293,195,360,1,4616.24,90.65
294,345,46,6,3330.0,92.26
295,416,180,4,2223.12,62.85
296,75,227,5,646.34,53.44
297,210,306,7,3728.43,8.48
298,496,224,8,2710.24,82.52
299,378,429,8,3428.56,6.75
300,162,419,8,4708.92,70.09
301,493,345,3,993.47,65.39
302,160,323,1,3657.87,17.39
303,308,176,2,4494.67,33.8
304,98,474,9,2528.6,5.1
305,363,165,8,680.61,67.71
306,448,154,9,4995.67,12.19
307,207,348,2,2287.22,45.46
308,228,149,10,1224.42,80.68
