order_id,customer_id,order_date,status,region_code
1,467.0,2026-10-03 21:31:49,RETURNED,East
2,28.0,2025-03-08 09:20:23,PLACED,North
3,77.0,2026-04-21 19:53:27,SHIPPED,South
4,320.0,2025-07-03 02:23:34,DELIVERED,East
5,257.0,2026-05-13 16:06:25,SHIPPED,West
6,152.0,2025-06-05 16:30:57,RETURNED,West
7,492.0,2026-03-28 10:31:54,RETURNED,North
8,186.0,2025-11-04 21:36:26,DELIVERED,West
9,190.0,2024-11-08 17:17:36,CANCELLED,East
10,353.0,2024-11-09 11:57:45,SHIPPED,South
11,309.0,2026-05-25 05:49:34,SHIPPED,North
13,398.0,2025-01-23 23:34:57,CANCELLED,West
14,194.0,2024-06-08 07:14:41,SHIPPED,West
15,482.0,2025-10-13 05:37:02,SHIPPED,North
16,279.0,2025-09-19 16:41:05,DELIVERED,North
17,389.0,2026-11-04 17:56:49,PLACED,South
18,178.0,2026-05-04 17:57:12,SHIPPED,East
19,279.0,2024-09-18 15:19:54,CANCELLED,North
20,201.0,2024-05-10 03:07:51,DELIVERED,North
21,254.0,2026-12-07 13:57:36,RETURNED,West
22,473.0,2025-02-14 09:59:36,PLACED,North
23,490.0,2024-08-25 18:28:58,SHIPPED,West
24,223.0,2025-03-25 19:56:19,SHIPPED,North
25,378.0,2025-07-01 19:26:29,DELIVERED,North
26,90.0,2025-08-21 08:55:07,PLACED,West
27,128.0,2025-06-16 00:23:01,CANCELLED,South
28,70.0,2024-11-21 18:24:31,SHIPPED,East
29,7.0,2025-02-04 09:44:19,SHIPPED,South
30,246.0,2025-03-22 18:15:14,SHIPPED,North
31,453.0,2025-05-06 16:48:05,SHIPPED,West
32,321.0,2025-06-20 06:00:06,SHIPPED,North
33,166.0,2025-09-28 13:08:32,PLACED,West
34,432.0,2025-06-17 09:53:29,SHIPPED,South
35,470.0,2025-04-06 11:22:58,DELIVERED,West
36,48.0,2025-11-27 09:30:49,DELIVERED,East
37,439.0,2026-02-18 14:28:32,RETURNED,North
38,341.0,2025-05-03 23:48:27,CANCELLED,West
39,147.0,2024-07-09 15:02:56,CANCELLED,West
40,121.0,2024-07-21 02:03:04,RETURNED,East
41,149.0,2025-03-31 10:37:04,PLACED,North
42,106.0,2026-02-15 23:22:40,PLACED,East
43,282.0,2026-06-14 10:45:18,CANCELLED,South
44,23.0,2025-05-12 02:04:03,SHIPPED,South
45,303.0,2024-07-29 17:18:55,PLACED,South
46,428.0,2025-04-09 09:30:39,RETURNED,South
47,302.0,2026-04-30 03:23:24,CANCELLED,South
48,202.0,2025-04-10 19:10:34,RETURNED,East
49,494.0,2025-09-18 13:44:54,RETURNED,South
50,280.0,2025-02-03 01:10:15,RETURNED,South
51,324.0,2025-03-05 01:15:20,CANCELLED,North
52,333.0,2026-04-07 00:23:25,RETURNED,South
53,472.0,2025-11-02 14:21:33,PLACED,East
54,486.0,2024-12-22 20:22:12,PLACED,North
55,482.0,2025-07-02 11:22:58,RETURNED,East
56,496.0,2025-03-31 03:24:34,DELIVERED,South
57,198.0,2026-04-02 03:00:40,RETURNED,North
58,114.0,2025-09-14 09:20:32,CANCELLED,North
59,22.0,2025-11-14 07:53:39,CANCELLED,South
60,362.0,2025-04-01 21:21:59,CANCELLED,East
61,37.0,2026-12-06 14:45:51,PLACED,East
62,285.0,2025-11-13 18:40:50,DELIVERED,West
63,371.0,2026-01-24 02:28:38,SHIPPED,North
64,424.0,2025-01-15 18:54:38,PLACED,South
65,463.0,2026-03-25 12:30:58,CANCELLED,West
66,477.0,2025-07-14 13:08:46,PLACED,South
67,147.0,2025-12-17 16:14:55,CANCELLED,East
68,393.0,2026-05-31 06:55:35,CANCELLED,South
69,153.0,2026-04-07 10:19:21,DELIVERED,North
70,308.0,2025-10-30 00:24:06,PLACED,North
71,191.0,2025-11-15 21:12:11,RETURNED,West
